City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,pandan,14.0453,124.1694,80.49,87,100,3.64,PH,1722877306
296,kiama,-34.6833,150.8667,53.01,77,100,1.34,AU,1722877307
297,kavaratti,10.5669,72.642,81.1,86,100,4.86,IN,1722877308
298,mashhad,36.297,59.6062,84.34,32,0,3.09,IR,1722877309
299,bel ombre,-4.6167,55.4167,78.64,89,40,5.14,SC,1722877310
300,daigo,36.7667,140.35,74.1,99,10,1.4,JP,1722877311
301,matamey,13.4231,8.4749,84.33,57,100,6.18,NE,1722877314
302,dryden,49.7833,-92.7503,66.49,59,40,4.12,CA,1722877222
303,pauini,-7.7136,-66.9764,99.61,27,5,2.02,BR,1722877316
304,tura,25.5198,90.2201,76.08,97,100,2.75,IN,1722876883
305,palmerston north,-40.35,175.6167,43.77,95,98,0.86,NZ,1722877318
306,pechora,65.1472,57.2244,55.9,82,98,1.06,RU,1722877319
307,hassi messaoud,31.6804,6.0729,103.86,15,0,2.06,DZ,1722877320
308,kijang,35.2442,129.2139,78.53,90,66,2.94,KR,1722877321
309,dunedin,-45.8742,170.5036,40.8,91,29,2.46,NZ,1722877174
310,elverum,60.8819,11.5623,70.03,66,98,1.12,NO,1722877323
311,sotnikovskoye,45.0039,43.7772,75.06,66,60,4.6,RU,1722877324
312,byron bay,-28.65,153.6167,58.6,86,92,4.76,AU,1722877326
313,chemolgan,43.1897,76.5292,73.06,33,100,2.38,KZ,1722877327
314,nikolo-berezovka,56.1242,54.1557,62.22,92,11,2.48,RU,1722877328
315,shevchenko,48.5,35.0,75.45,36,51,3.0,UA,1722877329
316,nemuro,43.3236,145.575,61.7,100,100,0.22,JP,1722877330
317,iquique,-20.2208,-70.1431,62.64,71,16,3.4,CL,1722877207
318,bakanas,44.8081,76.2772,84.51,24,24,5.27,KZ,1722877332
319,russkaya polyana,49.417,31.9201,73.35,40,48,3.04,UA,1722877333
320,el calafate,-50.3408,-72.2768,32.94,88,79,2.37,AR,1722876887
321,faya-largeau,17.9257,19.1043,90.9,47,60,7.02,TD,1722877333
322,hun,29.1268,15.9477,102.87,11,0,5.96,LY,1722877336
323,cole harbour,44.6724,-63.4751,79.18,81,99,1.79,CA,1722877338
324,castillos,-34.1667,-53.8333,59.23,77,96,4.78,UY,1722876881
325,nuuk,64.1835,-51.7216,49.87,71,100,2.68,GL,1722877122
326,plouzane,48.3833,-4.6167,70.12,83,100,6.69,FR,1722877341
327,nebraska city,40.6767,-95.8592,92.57,48,0,4.12,US,1722877343
328,fredericton,45.9454,-66.6656,78.42,54,75,4.12,CA,1722877344
329,kavieng,-2.5744,150.7967,80.56,79,100,3.74,PG,1722877345
330,neryungri,56.6709,124.6491,54.09,97,100,1.83,RU,1722877346
331,myeik,12.4333,98.6,78.89,87,91,0.77,MM,1722877347
332,tolanaro,-25.0319,46.9987,71.67,83,0,2.06,MG,1722877348
333,warmbad,-28.45,18.7333,53.56,30,0,5.06,NA,1722877350
334,vera,-29.4593,-60.2126,67.17,77,100,1.99,AR,1722877351
335,ilha de mocambique,-15.0342,40.7358,75.38,73,2,5.33,MZ,1722877352
336,kem',64.9555,34.5793,51.76,75,99,3.86,RU,1722876941
337,pathalgaon,22.5667,83.4667,76.37,89,100,2.34,IN,1722877354
338,fisterra,42.9049,-9.2629,80.02,93,40,4.72,ES,1722877355
339,santa ana de yacuma,-13.75,-65.4333,93.15,46,13,4.12,BO,1722877356
340,motueka,-41.1333,173.0167,39.09,85,7,1.83,NZ,1722877357
341,semenivka,52.1783,32.5818,68.52,58,100,2.3,UA,1722877358
342,antsiranana,-12.2787,49.2917,72.66,79,61,6.09,MG,1722877359
343,ugoofaaru,5.6667,73.0,82.45,74,100,2.59,MV,1722877360
344,chulakkurgan,43.765,69.1814,82.08,19,10,5.08,KZ,1722877361
345,noumea,-22.2763,166.4572,69.01,99,51,3.57,NC,1722877363
346,koryazhma,61.3143,47.1691,60.17,97,84,1.94,RU,1722877364
347,mirnyy,62.5353,113.9611,56.14,59,26,1.93,RU,1722877365
348,santa luzia,-19.7697,-43.8514,79.7,50,40,4.63,BR,1722877194
349,tome,-36.6167,-72.95,48.81,77,91,1.62,CL,1722877285
350,touros,-5.1989,-35.4608,81.52,63,30,8.34,BR,1722877106
351,ribas do rio pardo,-20.4431,-53.7592,93.88,17,0,4.13,BR,1722877369
352,sinabang,2.4803,96.3801,79.3,83,69,1.47,ID,1722877370
353,rouissat,31.9243,5.3502,105.87,13,0,2.06,DZ,1722877371
354,minna,9.6139,6.5569,80.73,71,89,1.55,NG,1722877373
355,teknaf,20.8624,92.3058,79.29,91,100,3.18,BD,1722877374
356,rongelap,11.1635,166.8941,82.89,80,100,7.07,MH,1722877376
357,aswan,24.0934,32.907,99.7,34,75,6.69,EG,1722877377
358,labytnangi,66.6572,66.4183,49.98,60,99,5.98,RU,1722877378
359,shangzhi,45.2167,127.9667,70.79,96,77,2.24,CN,1722877379
360,palmer,42.1584,-72.3287,87.67,57,20,1.54,US,1722877210
361,toliara,-23.35,43.6667,70.03,73,1,2.35,MG,1722877381
362,nar'yan-mar,67.6713,53.087,48.54,75,4,6.88,RU,1722877382
